"id","app","category","one_liner","auth","access","api_styles","api_breadth","mcp","verdict","blocker","confidence","evidence_urls"
"77","ClickUp","Productivity and Project Management","ClickUp is a productivity and project-management platform, and its public API plus MCP server let apps and agents manage tasks, docs, lists, folders, chat, time tracking, and related workspace data. ([developer.clickup.com](https://developer.clickup.com/?utm_source=openai))","personal_token | oauth2 | bearer_token","self_serve_free","rest | sdk | webhook","broad","multiple","ready_now","none","0.98","https://developer.clickup.com/docs/authentication | https://developer.clickup.com/reference/authorization | https://help.clickup.com/hc/en-us/articles/6303422883095-Create-your-own-app-with-the-ClickUp-API | https://developer.clickup.com/docs/apis-available-by-plan | https://help.clickup.com/hc/en-us/articles/10129535087383-Intro-to-pricing | https://developer.clickup.com/docs/open-api-spec | https://developer.clickup.com/docs/mcp-tools | https://developer.clickup.com/docs/connect-an-ai-assistant-to-clickups-mcp-server | https://developer.clickup.com/ | https://github.com/nsxdavid/clickup-mcp-server"
"78","Coda","Productivity and Project Management","A collaborative docs, tables, and workflow app for building flexible docs that combine document content with structured data and automation.","bearer_token | personal_token | oauth2","self_serve_free","rest | sdk","broad","official","ready_now","none","0.97","https://coda.io/developers/apis/v1 | https://coda.io/developers/apis/admin/v1 | https://help.coda.io/hc/en-us/articles/39555725230989-Billing-and-pricing-basics | https://help.coda.io/hc/en-us/articles/44722661982989-Connect-to-the-Coda-MCP | https://help.coda.io/hc/en-us/articles/44722769665549-Security-recommendations-for-the-Coda-MCP | https://help.coda.io/hc/en-us/articles/44722756780173-Using-the-Coda-MCP"
"79","Smartsheet","Productivity and Project Management","A collaborative work management platform for tracking, sharing, and automating projects, sheets, reports, workspaces, and related work artifacts.","oauth2 | bearer_token | api_key","self_serve_paid","rest | sdk | mcp","broad","official","conditional","paid_access","0.97","https://developers.smartsheet.com/ | https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication | https://developers.smartsheet.com/api/smartsheet/guides/advanced-topics/oauth | https://developers.smartsheet.com/register | https://developers.smartsheet.com/api/smartsheet/openapi/tokens | https://developers.smartsheet.com/api/smartsheet/openapi/sheets | https://developers.smartsheet.com/api/smartsheet/openapi/reports | https://www.smartsheet.com/pricing | https://developers.smartsheet.com/ai-mcp/smartsheet/install-the-smartsheet-mcp-server | https://developers.smartsheet.com/ai-mcp/smartsheet/mcp-server-tools"
"80","Harvest","Productivity and Project Management","Harvest is a time tracking, invoicing, reporting, and project management platform for teams and freelancers.","oauth2 | personal_token | bearer_token","self_serve_paid","rest | sdk | cli","broad","none_found","conditional","paid_access","0.97","https://support.getharvest.com/hc/en-us/articles/360048180732-The-Harvest-API | https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/ | https://help.getharvest.com/api-v2/ | https://help.getharvest.com/api-v2/introduction/overview/general/ | https://www.getharvest.com/pricing"
"81","Stripe","Finance and Fintech","Stripe is an API-first payments and financial infrastructure platform for accepting payments, managing money movement, subscriptions, billing, and related fintech workflows.","api_key | oauth2 | bearer_token","self_serve_free","rest | sdk | cli | mcp","broad","official","ready_now","none","0.97","https://docs.stripe.com/get-started | https://docs.stripe.com/api | https://docs.stripe.com/api/authentication | https://docs.stripe.com/keys | https://docs.stripe.com/stripe-apps/api-authentication | https://docs.stripe.com/mcp | https://stripe.com/pricing"
"82","Plaid","Finance and Fintech","Plaid is a financial data platform and API that lets apps connect to users’ financial accounts, access bank-account and identity data, and support payments/funding workflows.","api_key | oauth2 | bearer_token","self_serve_trial","rest | sdk | webhook","broad","official","ready_now","none","0.95","https://plaid.com/docs/ | https://plaid.com/docs/api/ | https://plaid.com/docs/account/billing/ | https://plaid.com/docs/link/oauth/ | https://plaid.com/docs/resources/mcp/ | https://plaid.com/docs/auth/add-to-app/ | https://plaid.com/docs/api/users/"
"83","Binance","Finance and Fintech","A cryptocurrency exchange and financial platform whose developer docs expose APIs for market data, account operations, trading, streaming, and related institutional workflows.","api_key | custom","self_serve_free","rest | webhook | sdk | cli | unknown","broad","official","blocked","no_public_api","0.96","https://developers.binance.com/en/docs/introduction | https://developers.binance.com/en/docs/products/spot/rest-api | https://developers.binance.com/en/docs/catalog | https://developers.binance.com/en/docs/agent-native/llms-txt | https://binance-docs.github.io/Brokerage-API/General/"
"84","Paygent Connect","Finance and Fintech","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"85","iPayX","Finance and Fintech","An FX audit platform that analyzes international-payment transactions against live mid-market rates to expose spread, markup, hidden fees, and estimated savings.","oauth2 | api_key | custom","self_serve_free","rest | sdk | mcp","moderate","official","ready_now","none","0.9","https://www.ipayx.ai/ | https://www.ipayx.ai/login | https://www.ipayx.ai/pricing | https://www.ipayx.ai/methodology | https://www.ipayx.ai/what-is-fx-spread"
"86","QuickBooks","Finance and Fintech","A cloud accounting and bookkeeping platform whose developer API lets apps read and write core business data such as customers, invoices, bills, payments, reports, and related accounting entities in QuickBooks Online.","oauth2","self_serve_paid","rest | graphql | sdk","broad","none_found","conditional","paid_access","0.95","https://developer.intuit.com/app/developer/qbo/docs/get-started | https://developer.intuit.com/app/developer/qbo/docs/learn/explore-the-quickbooks-online-api | https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization/oauth-2.0 | https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization/single-sign-on-models | https://developer.intuit.com/app/developer/qbo/docs/develop/sandboxes/manage-your-sandboxes | https://developer.intuit.com/app/developer/qbo/docs/learn/scopes | https://developer.intuit.com/app/developer/qbo/docs/learn/premium-apis | https://developer.intuit.com/app/developer/qbo/docs/get-started/partner-faq | https://developer.intuit.com/app/developer/qbo/docs/develop/develop-with-graphql | https://developer.intuit.com/app/developer/qbo/docs/get-started/get-started-with-the-api-explorer"
"87","Xero","Finance and Fintech","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"88","Brex","Finance and Fintech","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"89","Ramp","Finance and Fintech","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"90","PitchBook","Finance and Fintech","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"91","NotebookLM","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"92","Otter AI","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"93","Fathom","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"94","Consensus","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"95","Reducto","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"96","Devin","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"97","higgsfield","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"98","Mermaid CLI","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"99","YouTube Transcript","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
"100","Grain","AI, Research and Media-native","Research pending — run the evidence pipeline to populate this record.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","0",""
